,NB,C45,SVML,SVMQ,BN,RandF,RotF,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,ST,LS,FS,BoP,SAXVSM,BOSS,TSF,TSBF,LPS,ACF,PS,EE,CID_DTW,Flat-COTE,HIVE-COTE
Adiac,0.562659847,0.542199488,0.442455243,0.762148338,0.501278772,0.636828645,0.774936061,0.73657289,0.611253197,0.603580563,0.608695652,0.585677749,0.670076726,0.608695652,0.250639386,0.626598465,0.6342711,0.675191816,0.606138107,0.700767263,0.700767263,0.611253197,0.782608696,0.52173913,0.59335,0.588235294,0.452685422,0.764705882,0.731457801,0.769820972,0.769820972,0.664961637,0.751918159,0.664961637,0.624040921,0.79028133,0.810741688
ArrowHead,0.542857143,0.605714286,0.731428571,0.742857143,0.571428571,0.714285714,0.737142857,0.708571429,0.8,0.702857143,0.8,0.777142857,0.834285714,0.8,0.788571429,0.805714286,0.794285714,0.805714286,0.817142857,0.788571429,0.72,0.76,0.737142857,0.845714286,0.594286,0.737142857,0.788571429,0.834285714,0.725714286,0.754285714,0.782857143,0.645714286,0.474285714,0.811428571,0.828571429,0.811428571,0.862857143
Beef,0.666666667,0.533333333,0.9,0.933333333,0.6,0.733333333,0.866666667,0.6,0.666666667,0.633333333,0.666666667,0.666666667,0.7,0.666666667,0.766666667,0.466666667,0.6,0.7,0.7,0.666666667,0.666666667,0.666666667,0.9,0.866666667,0.566667,0.6,0.433333333,0.8,0.766666667,0.566666667,0.6,0.733333333,0.733333333,0.633333333,0.633333333,0.866666667,0.933333333
BeetleFly,0.75,0.9,0.8,0.85,0.85,0.8,0.9,0.8,0.75,0.7,0.65,0.75,0.85,0.75,0.8,0.6,0.7,0.75,0.7,0.65,0.65,0.6,0.9,0.8,0.7,0.7,0.9,0.9,0.75,0.8,0.8,0.65,0.85,0.75,0.75,0.8,0.95
BirdChicken,0.55,0.8,0.65,0.8,0.6,0.75,0.85,0.6,0.55,0.75,0.7,0.85,0.9,0.75,0.8,0.85,0.85,0.85,0.75,0.85,0.8,0.85,0.8,0.8,0.75,0.75,1,0.95,0.8,0.9,1,0.85,0.95,0.8,0.75,0.9,0.85
Car,0.6,0.566666667,0.85,0.883333333,0.566666667,0.666666667,0.8,0.766666667,0.733333333,0.733333333,0.766666667,0.733333333,0.783333333,0.766666667,0.833333333,0.9,0.916666667,0.783333333,0.783333333,0.8,0.783333333,0.85,0.916666667,0.766666667,0.75,0.783333333,0.866666667,0.833333333,0.766666667,0.783333333,0.85,0.583333333,0.7,0.833333333,0.766666667,0.9,0.866666667
CBF,0.895555556,0.673333333,0.877777778,0.875555556,0.854444444,0.89,0.928888889,0.894444444,0.852222222,0.996666667,0.994444444,0.592222222,0.572222222,0.997777778,0.99,0.968888889,0.991111111,0.591111111,0.996666667,0.996666667,0.98,0.991111111,0.974444444,0.991111111,0.94,0.924444444,0.956666667,0.997777778,0.994444444,0.987777778,0.998888889,0.598888889,0.555555556,0.997777778,0.998888889,0.995555556,0.998888889
ChlorineConcentration,0.346354167,0.6875,0.584375,0.92421875,0.598958333,0.7125,0.847395833,0.861458333,0.65,0.6484375,0.65,0.683072917,0.69765625,0.659895833,0.719791667,0.627604167,0.6484375,0.68984375,0.64921875,0.708072917,0.713020833,0.63359375,0.699739583,0.592447917,0.546354,0.640625,0.654427083,0.6609375,0.719791667,0.692447917,0.607552083,0.661979167,0.722395833,0.65625,0.648697917,0.727083333,0.711979167
CinCECGtorso,0.846376812,0.589855072,0.46884058,0.651449275,0.83115942,0.738405797,0.805797101,0.461594203,0.897101449,0.650724638,0.930434783,0.710869565,0.939130435,0.887681159,0.946376812,0.961594203,0.846376812,0.910144928,0.85942029,0.724637681,0.852173913,0.715217391,0.954347826,0.869565217,0.85942,0.713768116,0.770289855,0.886956522,0.982608696,0.712318841,0.736231884,0.797826087,0.870289855,0.942028986,0.945652174,0.994927536,0.996376812
Coffee,0.928571429,0.928571429,1,1,0.964285714,1,1,0.964285714,1,1,1,0.928571429,0.964285714,1,1,0.892857143,1,0.964285714,1,1,1,0.964285714,0.964285714,1,0.928571,0.928571429,0.928571429,1,0.964285714,1,1,1,1,1,1,1,1
Computers,0.58,0.568,0.492,0.54,0.664,0.608,0.7,0.496,0.576,0.7,0.624,0.668,0.676,0.54,0.644,0.576,0.632,0.608,0.7,0.716,0.716,0.544,0.736,0.584,0.5,0.668,0.62,0.756,0.72,0.756,0.68,0.6,0.66,0.708,0.62,0.74,0.76
CricketX,0.379487179,0.274358974,0.38974359,0.484615385,0.312820513,0.587179487,0.633333333,0.505128205,0.576923077,0.753846154,0.779487179,0.630769231,0.630769231,0.764102564,0.730769231,0.764102564,0.748717949,0.641025641,0.78974359,0.753846154,0.753846154,0.764102564,0.771794872,0.741025641,0.484615,0.576923077,0.738461538,0.735897436,0.664102564,0.705128205,0.697435897,0.566666667,0.569230769,0.812820513,0.776923077,0.807692308,0.823076923
CricketY,0.394871795,0.328205128,0.458974359,0.461538462,0.287179487,0.61025641,0.61025641,0.525641026,0.566666667,0.743589744,0.756410256,0.558974359,0.561538462,0.730769231,0.787179487,0.771794872,0.753846154,0.582051282,0.758974359,0.776923077,0.774358974,0.779487179,0.779487179,0.717948718,0.530769,0.633333333,0.615384615,0.753846154,0.671794872,0.735897436,0.766666667,0.551282051,0.487179487,0.805128205,0.712820513,0.825641026,0.848717949
CricketZ,0.394871795,0.320512821,0.379487179,0.464102564,0.328205128,0.607692308,0.656410256,0.543589744,0.587179487,0.753846154,0.735897436,0.556410256,0.605128205,0.733333333,0.741025641,0.764102564,0.735897436,0.617948718,0.761538462,0.774358974,0.774358974,0.728205128,0.787179487,0.741025641,0.464103,0.535897436,0.707692308,0.746153846,0.671794872,0.715384615,0.753846154,0.630769231,0.574358974,0.782051282,0.730769231,0.815384615,0.830769231
DiatomSizeReduction,0.879084967,0.715686275,0.954248366,0.947712418,0.941176471,0.87254902,0.87254902,0.964052288,0.934640523,0.967320261,0.934640523,0.934640523,0.91503268,0.934640523,0.941176471,0.947712418,0.947712418,0.934640523,0.967320261,0.967320261,0.91503268,0.934640523,0.924836601,0.980392157,0.866013,0.921568627,0.882352941,0.931372549,0.931372549,0.89869281,0.905228758,0.888888889,0.87254902,0.944444444,0.934640523,0.928104575,0.941176471
DistalPhalanxOutlineCorrect,0.673913043,0.757246377,0.663043478,0.764492754,0.72826087,0.782608696,0.757246377,0.822463768,0.717391304,0.717391304,0.724637681,0.731884058,0.713768116,0.710144928,0.742753623,0.735507246,0.739130435,0.710144928,0.717391304,0.731884058,0.724637681,0.768115942,0.775362319,0.778985507,0.75,0.713768116,0.72826087,0.72826087,0.77173913,0.782608696,0.721014493,0.760869565,0.724637681,0.72826087,0.735507246,0.760869565,0.77173913
DistalPhalanxOutlineAgeGroup,0.726618705,0.690647482,0.712230216,0.669064748,0.73381295,0.769784173,0.748201439,0.805755396,0.625899281,0.769784173,0.625899281,0.676258993,0.690647482,0.676258993,0.73381295,0.741007194,0.712230216,0.64028777,0.697841727,0.705035971,0.661870504,0.683453237,0.769784173,0.71942446,0.654676,0.690647482,0.841726619,0.748201439,0.748201439,0.712230216,0.669064748,0.712230216,0.705035971,0.690647482,0.633093525,0.748201439,0.762589928
DistalPhalanxTW,0.64028777,0.625899281,0.705035971,0.625899281,0.661870504,0.705035971,0.705035971,0.625899281,0.633093525,0.589928058,0.633093525,0.589928058,0.589928058,0.669064748,0.633093525,0.64028777,0.633093525,0.589928058,0.604316547,0.611510791,0.575539568,0.669064748,0.661870504,0.625899281,0.625899,0.697841727,0.604316547,0.676258993,0.669064748,0.676258993,0.568345324,0.690647482,0.676258993,0.647482014,0.625899281,0.697841727,0.683453237
Earthquakes,0.669064748,0.697841727,0.64028777,0.741007194,0.568345324,0.748201439,0.748201439,0.697841727,0.712230216,0.71942446,0.726618705,0.676258993,0.676258993,0.683453237,0.726618705,0.690647482,0.676258993,0.676258993,0.726618705,0.705035971,0.705035971,0.748201439,0.741007194,0.741007194,0.705036,0.741007194,0.748201439,0.748201439,0.748201439,0.748201439,0.64028777,0.748201439,0.748201439,0.741007194,0.71942446,0.748201439,0.748201439
ECG200,0.77,0.8,0.81,0.85,0.75,0.79,0.85,0.79,0.88,0.77,0.88,0.83,0.89,0.88,0.89,0.91,0.89,0.88,0.88,0.83,0.84,0.81,0.83,0.88,0.81,0.83,0.85,0.87,0.87,0.84,0.86,0.82,0.86,0.88,0.89,0.88,0.85
ECG5000,0.883555556,0.898666667,0.938444444,0.926222222,0.852888889,0.934666667,0.945777778,0.932888889,0.924888889,0.924444444,0.925111111,0.919555556,0.920666667,0.932222222,0.929555556,0.931777778,0.927111111,0.922,0.924888889,0.923555556,0.923555556,0.938222222,0.943777778,0.932222222,0.922667,0.911777778,0.910444444,0.941333333,0.938888889,0.939555556,0.917111111,0.909777778,0.935555556,0.938666667,0.926666667,0.946,0.946222222
ECGFiveDays,0.796747967,0.721254355,0.975609756,0.972125436,0.780487805,0.721254355,0.908246225,0.916376307,0.796747967,0.767711963,0.796747967,0.68641115,0.695702671,0.806039489,0.794425087,0.890824623,0.829268293,0.692218351,0.795586527,0.768873403,0.822299652,0.974448316,0.983739837,1,0.997677,0.987224158,0.954703833,1,0.955865273,0.87688734,0.879210221,0.981416957,1,0.819976771,0.781649245,0.99883856,1
ElectricDevices,0.512644274,0.559330826,0.498249254,0.580988199,0.462585916,0.654908572,0.785760602,0.640513552,0.551679419,0.602126832,0.630787187,0.570872779,0.596809752,0.654000778,0.625988847,0.659058488,0.592659837,0.581895993,0.613409415,0.591881727,0.593827,0.741149008,0.746984827,0.587472442,0.579043,0.596031643,0.7052263,0.799247828,0.692517183,0.702502918,0.6812346,0.625729477,0.597198807,0.662949034,0.615614058,0.713266762,0.770328103
FaceAll,0.692899408,0.549112426,0.720118343,0.733136095,0.673372781,0.732544379,0.911242604,0.862721893,0.713609467,0.807692308,0.807692308,0.872781065,0.881656805,0.792899408,0.800591716,0.809467456,0.786390533,0.89704142,0.79408284,0.901775148,0.898816568,0.75739645,0.778698225,0.74852071,0.626036,0.755621302,0.968047337,0.781656805,0.75147929,0.744378698,0.767455621,0.70887574,0.820118343,0.84852071,0.863905325,0.917751479,0.80295858
FaceFour,0.840909091,0.715909091,0.886363636,0.852272727,0.897727273,0.852272727,0.818181818,0.909090909,0.784090909,0.829545455,0.897727273,0.625,0.738636364,0.863636364,0.965909091,0.943181818,0.852272727,0.715909091,0.875,0.829545455,0.818181818,0.988636364,0.852272727,0.965909091,0.909091,0.954545455,0.931818182,1,0.931818182,1,0.943181818,0.659090909,0.511363636,0.909090909,0.875,0.897727273,0.954545455
FacesUCR,0.727317073,0.477560976,0.75804878,0.780487805,0.611707317,0.782439024,0.802926829,0.747317073,0.769268293,0.904878049,0.907804878,0.843414634,0.874634146,0.92097561,0.955121951,0.971219512,0.92,0.868292683,0.92,0.904390244,0.907804878,0.709756098,0.905853659,0.93902439,0.705854,0.898536585,0.925365854,0.957073171,0.883414634,0.866829268,0.925853659,0.692682927,0.800487805,0.944878049,0.894634146,0.942439024,0.962926829
FiftyWords,0.562637363,0.417582418,0.646153846,0.69010989,0.16043956,0.681318681,0.661538462,0.650549451,0.630769231,0.69010989,0.764835165,0.692307692,0.762637363,0.712087912,0.797802198,0.813186813,0.793406593,0.769230769,0.771428571,0.753846154,0.753846154,0.747252747,0.705494505,0.72967033,0.481319,0.540659341,0.393406593,0.705494505,0.740659341,0.758241758,0.817582418,0.428571429,0.417582418,0.81978022,0.78021978,0.797802198,0.808791209
Fish,0.651428571,0.565714286,0.851428571,0.862857143,0.657142857,0.76,0.828571429,0.845714286,0.782857143,0.822857143,0.834285714,0.897142857,0.92,0.874285714,0.874285714,0.931428571,0.931428571,0.96,0.851428571,0.942857143,0.925714286,0.948571429,0.988571429,0.96,0.782857,0.897142857,0.948571429,0.988571429,0.794285714,0.834285714,0.942857143,0.617142857,0.811428571,0.965714286,0.834285714,0.982857143,0.988571429
FordA,0.491666667,0.562121212,0.496212121,0.777272727,0.515909091,0.771969697,0.84469697,0.74469697,0.665151515,0.554545455,0.665151515,0.717424242,0.721969697,0.658333333,0.698484848,0.718939394,0.618181818,0.717424242,0.653030303,0.722727273,0.765151515,0.892424242,0.971212121,0.956818182,0.787121,0.789393939,0.827272727,0.929545455,0.815151515,0.85,0.872727273,0.936363636,0.937878788,0.737878788,0.771969697,0.956818182,0.964393939
FordB,0.534567901,0.525925926,0.527160494,0.737037037,0.507407407,0.654320988,0.771604938,0.665432099,0.60617284,0.619753086,0.598765432,0.665432099,0.656790123,0.624691358,0.648148148,0.641975309,0.608641975,0.659259259,0.598765432,0.666666667,0.65308642,0.749382716,0.807407407,0.917283951,0.728395,0.624691358,0.750617284,0.711111111,0.687654321,0.598765432,0.711111111,0.780246914,0.790123457,0.661728395,0.627160494,0.803703704,0.82345679
GunPoint,0.786666667,0.773333333,0.8,0.94,0.853333333,0.94,0.92,0.926666667,0.913333333,0.906666667,0.913333333,0.993333333,1,0.946666667,0.973333333,0.973333333,0.953333333,0.993333333,0.98,0.98,0.986666667,0.98,1,1,0.946667,0.986666667,0.986666667,1,0.973333333,0.986666667,0.993333333,0.726666667,0.893333333,0.993333333,0.926666667,1,1
Ham,0.752380952,0.533333333,0.6,0.657142857,0.704761905,0.714285714,0.714285714,0.838095238,0.6,0.466666667,0.6,0.476190476,0.542857143,0.6,0.60952381,0.514285714,0.514285714,0.552380952,0.580952381,0.476190476,0.552380952,0.704761905,0.685714286,0.666666667,0.647619,0.59047619,0.80952381,0.666666667,0.742857143,0.761904762,0.561904762,0.685714286,0.6,0.571428571,0.514285714,0.647619048,0.666666667
HandOutlines,0.810810811,0.881081081,0.891891892,0.867567568,0.845945946,0.905405405,0.910810811,0.883783784,0.862162162,0.881081081,0.878378378,0.737837838,0.810810811,0.883783784,0.848648649,0.875675676,0.87027027,0.840540541,0.87027027,0.867567568,0.864864865,0.916216216,0.932432432,0.481081081,0.810811,0.902702703,0.908108108,0.902702703,0.918918919,0.854054054,0.881081081,0.686486486,0.745945946,0.889189189,0.862162162,0.918918919,0.932432432
Haptics,0.438311688,0.350649351,0.405844156,0.428571429,0.363636364,0.454545455,0.438311688,0.467532468,0.37012987,0.376623377,0.415584416,0.285714286,0.327922078,0.37012987,0.38961039,0.441558442,0.415584416,0.321428571,0.37012987,0.399350649,0.399350649,0.435064935,0.522727273,0.467532468,0.392857,0.422077922,0.37987013,0.461038961,0.444805195,0.49025974,0.431818182,0.431818182,0.448051948,0.392857143,0.425324675,0.522727273,0.519480519
Herring,0.578125,0.578125,0.609375,0.609375,0.53125,0.59375,0.65625,0.640625,0.515625,0.53125,0.53125,0.5,0.515625,0.625,0.5625,0.5625,0.515625,0.46875,0.53125,0.546875,0.546875,0.578125,0.671875,0.625,0.53125,0.5625,0.625,0.546875,0.609375,0.640625,0.578125,0.671875,0.5625,0.578125,0.515625,0.625,0.6875
InlineSkate,0.216363636,0.269090909,0.309090909,0.329090909,0.176363636,0.350909091,0.370909091,0.34,0.341818182,0.383636364,0.387272727,0.452727273,0.456363636,0.447272727,0.427272727,0.452727273,0.421818182,0.452727273,0.403636364,0.561818182,0.509090909,0.372727273,0.372727273,0.438181818,0.189091,0.376363636,0.410909091,0.516363636,0.376363636,0.385454545,0.5,0.46,0.429090909,0.46,0.414545455,0.494545455,0.5
InsectWingbeatSound,0.628282828,0.507070707,0.643434343,0.600505051,0.614141414,0.656060606,0.636363636,0.591414141,0.561616162,0.355050505,0.573737374,0.243434343,0.519191919,0.525757576,0.555555556,0.574747475,0.534343434,0.542424242,0.573737374,0.355050505,0.472727273,0.630808081,0.626767677,0.606060606,0.489394,0.491919192,0.547474747,0.523232323,0.632828283,0.624747475,0.550505051,0.558080808,0.583333333,0.594949495,0.578282828,0.652525253,0.655050505
ItalyPowerDemand,0.900874636,0.946550049,0.971817298,0.951409135,0.931972789,0.965986395,0.972789116,0.945578231,0.955296404,0.950437318,0.955296404,0.91350826,0.972789116,0.955296404,0.957240039,0.943634597,0.948493683,0.940719145,0.950437318,0.950437318,0.951409135,0.960155491,0.947521866,0.960155491,0.917396,0.860058309,0.816326531,0.908649174,0.960155491,0.883381924,0.923226433,0.790087464,0.896987366,0.962099125,0.956268222,0.961127308,0.963070943
LargeKitchenAppliances,0.458666667,0.485333333,0.426666667,0.461333333,0.549333333,0.568,0.608,0.48,0.493333333,0.794666667,0.794666667,0.768,0.757333333,0.618666667,0.584,0.669333333,0.752,0.768,0.794666667,0.794666667,0.794666667,0.8,0.858666667,0.701333333,0.56,0.624,0.877333333,0.765333333,0.570666667,0.528,0.717333333,0.778666667,0.733333333,0.810666667,0.792,0.845333333,0.864
Lightning2,0.672131148,0.62295082,0.721311475,0.754098361,0.737704918,0.737704918,0.68852459,0.721311475,0.754098361,0.868852459,0.868852459,0.672131148,0.770491803,0.868852459,0.770491803,0.819672131,0.836065574,0.819672131,0.901639344,0.868852459,0.868852459,0.786885246,0.737704918,0.819672131,0.704918,0.754098361,0.852459016,0.836065574,0.803278689,0.737704918,0.819672131,0.639344262,0.737704918,0.885245902,0.868852459,0.868852459,0.819672131
Lightning7,0.643835616,0.547945205,0.712328767,0.712328767,0.684931507,0.698630137,0.726027397,0.643835616,0.575342466,0.726027397,0.712328767,0.575342466,0.698630137,0.739726027,0.575342466,0.753424658,0.753424658,0.684931507,0.767123288,0.671232877,0.657534247,0.575342466,0.726027397,0.794520548,0.643836,0.575342466,0.575342466,0.684931507,0.753424658,0.726027397,0.739726027,0.575342466,0.602739726,0.767123288,0.698630137,0.808219178,0.739726027
Mallat,0.845628998,0.751385928,0.866950959,0.863539446,0.955223881,0.864818763,0.949253731,0.89466951,0.914285714,0.933901919,0.914285714,0.897228145,0.925373134,0.913859275,0.9108742,0.931769723,0.912153518,0.912579957,0.937739872,0.948827292,0.927078891,0.948400853,0.964179104,0.95010661,0.976119,0.845628998,0.84434968,0.938166311,0.919402985,0.960341151,0.908315565,0.82217484,0.884008529,0.939872068,0.925373134,0.953944563,0.962046908
