dataset,earliness_factor,entropy_factor,accuracy,earliness
Lightning7,0.7,0.1,0.22857142857142856,0.0
OliveOil,0.6,0.1,0.26666666666666666,0.0
Lightning2,0.6,0.1,0.7833333333333333,0.27437105774879456
Lightning2,0.9,0.01,0.9,0.7426100373268127
Beef,0.7,0.0,0.8333333333333334,1.0
Trace,0.9,0.0,1.0,1.0
TwoLeadECG,0.9,0.0,1.0,1.0
MedicalImages,0.9,0.01,0.8792650918635171,0.6016926765441895
TwoPatterns,0.9,0.01,0.986,1.0
Coffee,0.6,0.01,0.5,0.0
Symbols,0.7,0.0,0.72,0.29793447256088257
SonyAIBORobotSurface2,0.9,0.01,1.0,0.39004629850387573
FacesUCR,0.6,0.0,0.98,0.363730788230896
MedicalImages,0.7,0.0,0.5249343832020997,0.0
SyntheticControl,0.7,0.0,0.96,0.2855367064476013
ItalyPowerDemand,0.8,0.0,0.9402985074626866,1.0
Symbols,0.6,0.0,0.68,0.2159193754196167
CBF,0.8,0.1,0.9666666666666667,0.367716521024704
Coffee,0.6,0.1,0.5,0.0
UWaveGestureLibraryY,0.7,0.0,0.6774553571428571,0.46291372179985046
InlineSkate,0.7,0.1,0.29,0.3059011399745941
StarLightCurves,0.7,0.01,0.912,0.15983380377292633
Lightning2,0.6,0.0,0.6666666666666666,0.0
GunPoint,0.6,0.01,0.56,0.015436241403222084
WordSynonyms,0.7,0.01,0.30711610486891383,0.16109046339988708
OliveOil,0.8,0.01,0.43333333333333335,0.0
NonInvasiveFatalECGThorax1,0.8,0.01,0.8133333333333334,0.3097262978553772
WordSynonyms,0.6,0.0,0.2247191011235955,0.0
Lightning2,0.9,0.0,1.0,0.9999999403953552
Adiac,0.7,0.01,0.4307692307692308,0.2857728898525238
Lightning7,0.8,0.01,0.18571428571428572,0.0
ECG200,0.7,0.0,0.95,0.20568419992923737
MedicalImages,0.8,0.01,0.889763779527559,0.4672718942165375
SwedishLeaf,0.6,0.01,0.814,0.35592126846313477
Coffee,0.8,0.0,0.5,0.0
FaceAll,0.9,0.1,0.9607142857142857,0.5603159070014954
CBF,0.9,0.0,1.0,1.0
OliveOil,0.6,0.01,0.43333333333333335,0.0
SonyAIBORobotSurface2,0.8,0.1,1.0,0.36226850748062134
FiftyWords,0.9,0.01,0.11555555555555555,0.0
UWaveGestureLibraryX,0.6,0.0,0.13169642857142858,0.0
Mallat,0.8,0.0,1.0,1.0
SyntheticControl,0.9,0.0,1.0,1.0
SonyAIBORobotSurface2,0.7,0.0,0.9629629629629629,0.21064814925193787
Yoga,0.7,0.0,0.5366666666666666,9.411764767719433e-05
Lightning7,0.9,0.01,0.8,0.9999998807907104
Fish,0.6,0.0,0.8228571428571428,0.42058131098747253
CricketX,0.9,0.01,0.9743589743589743,1.0
Adiac,0.8,0.01,0.44871794871794873,0.3809816837310791
CBF,0.9,0.01,1.0,1.0
NonInvasiveFatalECGThorax2,0.7,0.0,0.8272222222222222,0.14212283492088318
CBF,0.7,0.0,0.9,0.37795278429985046
FiftyWords,0.8,0.0,0.03111111111111111,0.0
FiftyWords,0.8,0.01,0.11555555555555555,0.0
OSULeaf,0.9,0.01,0.96,1.0
Coffee,0.8,0.0,0.5,0.0
CricketX,0.9,0.1,0.9358974358974359,0.623128354549408
Lightning2,0.8,0.01,0.9,0.56889408826828
SwedishLeaf,0.9,0.0,0.91,1.0
TwoLeadECG,0.9,0.01,1.0,0.6961889863014221
CinCECGTorso,0.6,0.01,0.775,0.42873936891555786
UWaveGestureLibraryZ,0.6,0.01,0.671875,0.40055233240127563
CricketX,0.7,0.01,0.9435897435897436,0.46827033162117004
Beef,0.8,0.0,0.7333333333333333,1.0
CricketZ,0.6,0.0,0.9205128205128205,0.512254536151886
SonyAIBORobotSurface1,0.9,0.01,1.0,0.38405799865722656
SwedishLeaf,0.7,0.1,0.784,0.5046771764755249
SwedishLeaf,0.7,0.0,0.89,0.39886611700057983
ECG200,0.6,0.0,0.69,0.0
UWaveGestureLibraryX,0.7,0.0,0.8582589285714286,1.0
SyntheticControl,0.7,0.1,0.94,0.4474576413631439
FaceFour,0.9,0.0,1.0,1.0
Adiac,0.9,0.0,0.4564102564102564,1.0
GunPoint,0.9,0.0,0.98,1.0
OliveOil,0.7,0.0,0.26666666666666666,0.0
InlineSkate,0.8,0.0,0.18,0.0
FacesUCR,0.9,0.01,0.995,1.0
Lightning7,0.8,0.1,0.2,0.0
SwedishLeaf,0.9,0.1,0.856,0.6009448766708374
ItalyPowerDemand,0.9,0.01,0.9701492537313433,1.0
MedicalImages,0.8,0.0,0.847769028871391,0.4360704720020294
Lightning2,0.9,0.1,0.85,0.4387054443359375
ItalyPowerDemand,0.6,0.0,0.6268656716417911,0.09279688447713852
SonyAIBORobotSurface1,0.9,0.01,1.0,0.3869565427303314
WordSynonyms,0.7,0.0,0.2209737827715356,0.0
OSULeaf,0.7,0.1,0.93,0.5243544578552246
Trace,0.7,0.01,0.74,0.21357664465904236
CinCECGTorso,0.7,0.1,0.625,0.39413920044898987
TwoPatterns,0.8,0.0,1.0,1.0
ItalyPowerDemand,0.6,0.1,0.7014925373134329,0.4990265667438507
Adiac,0.8,0.0,0.4025641025641026,0.33268865942955017
Lightning7,0.7,0.01,0.24285714285714285,0.0
NonInvasiveFatalECGThorax2,0.9,0.0,0.8611111111111112,1.0
Haptics,0.6,0.01,0.6580645161290323,0.2603234648704529
MedicalImages,0.8,0.1,0.7952755905511811,0.4780919849872589
StarLightCurves,0.6,0.0,0.884,0.07814466953277588
SwedishLeaf,0.8,0.1,0.836,0.5423307418823242
DiatomSizeReduction,0.9,0.1,1.0,0.5972020030021667
Trace,0.6,0.0,0.72,0.1690146028995514
UWaveGestureLibraryY,0.9,0.01,0.7433035714285714,1.0
TwoPatterns,0.6,0.0,0.999,1.0
OSULeaf,0.7,0.01,0.95,0.4582863748073578
FacesUCR,0.7,0.0,0.995,1.0
UWaveGestureLibraryX,0.9,0.01,0.8515625,1.0
SonyAIBORobotSurface1,0.8,0.01,0.95,0.18550725281238556
FaceAll,0.7,0.0,0.9410714285714286,0.3511950671672821
SyntheticControl,0.8,0.01,0.9966666666666667,1.0
ChlorineConcentration,0.6,0.01,0.5610278372591007,0.0210239440202713
ECGFiveDays,0.9,0.01,1.0,0.527858316898346
SonyAIBORobotSurface2,0.6,0.01,1.0,0.2378472238779068
Haptics,0.8,0.0,0.7612903225806451,0.4174743592739105
Mallat,0.6,0.0,0.8909090909090909,0.321158766746521
Coffee,0.7,0.0,0.5,0.0
Wafer,0.8,0.0,0.903,5.960264752502553e-05
SwedishLeaf,0.7,0.01,0.886,0.44377949833869934
FacesUCR,0.8,0.0,0.995,1.0
Haptics,0.9,0.01,0.7806451612903226,0.6292777061462402
SwedishLeaf,0.6,0.1,0.816,0.445811003446579
FiftyWords,0.9,0.0,0.7711111111111111,1.0
CricketZ,0.7,0.0,0.9692307692307692,1.0
WordSynonyms,0.8,0.0,0.7715355805243446,1.0
ItalyPowerDemand,0.6,0.1,0.8507462686567164,0.5412070155143738
CinCECGTorso,0.6,0.0,0.7,0.3047161400318146
ItalyPowerDemand,0.6,0.0,0.5373134328358209,0.009085009805858135
FaceAll,0.7,0.01,0.9446428571428571,0.3720741868019104
FaceFour,0.7,0.0,1.0,1.0
OliveOil,0.9,0.0,0.26666666666666666,0.0
OSULeaf,0.8,0.01,0.965,1.0
CricketZ,0.6,0.0,0.9256410256410257,0.42986881732940674
Lightning2,0.7,0.0,0.6666666666666666,0.0
MoteStrain,0.7,0.1,0.45,0.0
OSULeaf,0.8,0.1,0.95,0.5705986022949219
CricketX,0.8,0.01,0.958974358974359,0.5819054841995239
UWaveGestureLibraryX,0.6,0.1,0.7087053571428571,0.49839338660240173
Beef,0.9,0.01,0.7333333333333333,0.42786070704460144
Coffee,0.7,0.0,0.5357142857142857,0.0
CinCECGTorso,0.9,0.1,0.85,0.5879120826721191
TwoPatterns,0.7,0.1,0.906,0.5955039858818054
Haptics,0.8,0.1,0.7032258064516129,0.49484050273895264
ECG200,0.6,0.1,0.86,0.30505263805389404
NonInvasiveFatalECGThorax2,0.8,0.01,0.8433333333333334,0.26070016622543335
CinCECGTorso,0.9,0.0,1.0,1.0
UWaveGestureLibraryY,0.6,0.0,0.13616071428571427,0.0
Trace,0.9,0.1,0.78,0.5711678862571716
DiatomSizeReduction,0.7,0.1,0.9375,0.4142441749572754
Yoga,0.7,0.01,0.77,0.298721581697464
Yoga,0.8,0.0,0.7766666666666666,0.3393176198005676
GunPoint,0.7,0.1,0.86,0.4761074185371399
CricketX,0.6,0.0,0.9487179487179487,0.43648916482925415
ChlorineConcentration,0.9,0.1,0.5781584582441114,0.4206216335296631
SyntheticControl,0.9,0.01,0.9933333333333333,1.0
TwoLeadECG,0.8,0.1,0.9130434782608695,0.46269461512565613
GunPoint,0.9,0.0,1.0,1.0
Coffee,0.6,0.0,0.5,0.0
Mallat,0.6,0.0,0.9636363636363636,0.3306674063205719
FaceAll,0.6,0.1,0.9303571428571429,0.43046706914901733
UWaveGestureLibraryZ,0.9,0.01,0.7857142857142857,1.0
ItalyPowerDemand,0.7,0.1,0.8805970149253731,0.4990266263484955
CricketY,0.9,0.0,0.9179487179487179,1.0
ECG200,0.6,0.0,0.69,0.0001052631632774137
SyntheticControl,0.6,0.0,0.9133333333333333,0.22180791199207306
FacesUCR,0.8,0.01,1.0,1.0
FacesUCR,0.7,0.0,1.0,1.0
TwoPatterns,0.8,0.1,0.923,0.6352676749229431
ChlorineConcentration,0.7,0.0,0.5610278372591007,2.595548539829906e-05
GunPoint,0.8,0.01,0.96,0.48201340436935425
Wafer,0.8,0.1,0.985,0.3840993642807007
ECG200,0.6,0.01,0.69,0.016842106357216835
CricketX,0.8,0.0,0.9717948717948718,1.0
Lightning7,0.8,0.0,0.7714285714285715,0.9999998807907104
CricketX,0.7,0.0,0.9564102564102565,1.0
NonInvasiveFatalECGThorax1,0.7,0.1,0.8083333333333333,0.3944103419780731
InlineSkate,0.8,0.1,0.33,0.32173842191696167
TwoPatterns,0.7,0.0,0.988,1.0
CBF,0.6,0.0,0.3333333333333333,0.0
Haptics,0.9,0.0,0.7354838709677419,1.0
StarLightCurves,0.9,0.1,0.93,0.4744037091732025
Wafer,0.9,0.01,0.993,0.29134437441825867
SonyAIBORobotSurface2,0.9,0.01,0.9629629629629629,0.4253472089767456
Fish,0.6,0.1,0.72,0.4564007520675659
MoteStrain,0.6,0.1,0.6,0.0
Haptics,0.8,0.01,0.7354838709677419,0.4114307463169098
NonInvasiveFatalECGThorax2,0.9,0.1,0.8311111111111111,0.5085477232933044
WordSynonyms,0.6,0.1,0.7865168539325843,1.0
TwoLeadECG,0.7,0.0,0.8695652173913043,0.4170692563056946
TwoLeadECG,0.7,0.01,0.9565217391304348,0.41545891761779785
CBF,0.9,0.1,1.0,0.3643045127391815
SonyAIBORobotSurface1,0.7,0.01,0.95,0.12681159377098083
ChlorineConcentration,0.6,0.01,0.5653104925053534,0.02635779418051243
Symbols,0.7,0.01,0.88,0.4087657034397125
UWaveGestureLibraryZ,0.6,0.0,0.6194196428571429,0.28337550163269043
CBF,0.6,0.01,1.0,0.25958001613616943
Lightning2,0.6,0.0,0.6666666666666666,0.0
MedicalImages,0.8,0.0,0.8608923884514436,0.4351063072681427
FacesUCR,0.8,0.0,1.0,1.0
MedicalImages,0.7,0.01,0.8162729658792651,0.344367653131485
SwedishLeaf,0.8,0.0,0.878,1.0
CinCECGTorso,0.8,0.01,0.875,0.6083486080169678
FaceFour,0.7,0.01,1.0,1.0
OliveOil,0.8,0.1,0.43333333333333335,0.0
MoteStrain,0.7,0.0,0.5,0.0
SonyAIBORobotSurface1,0.8,0.0,1.0,0.19130435585975647
SwedishLeaf,0.9,0.01,0.914,0.6470866203308105
UWaveGestureLibraryY,0.6,0.0,0.6071428571428571,0.3622753620147705
Trace,0.6,0.1,0.72,0.2744525671005249
WordSynonyms,0.6,0.0,0.2247191011235955,0.0
FacesUCR,0.6,0.1,0.945,0.41257691383361816
Symbols,0.9,0.1,0.92,0.5177834033966064
FaceFour,0.6,0.0,1.0,1.0
ChlorineConcentration,0.7,0.01,0.5653104925053534,0.04700538143515587
UWaveGestureLibraryZ,0.9,0.1,0.7700892857142857,0.6700764894485474
Fish,0.8,0.01,0.8685714285714285,0.6305751204490662
FaceFour,0.8,0.0,1.0,1.0
CricketY,0.8,0.01,0.8923076923076924,1.0
DiatomSizeReduction,0.8,0.01,1.0,0.3032339811325073
TwoLeadECG,0.7,0.01,0.8695652173913043,0.3692968487739563
NonInvasiveFatalECGThorax1,0.7,0.0,0.7972222222222223,0.17084409296512604
UWaveGestureLibraryX,0.6,0.0,0.6618303571428571,0.43285802006721497
DiatomSizeReduction,0.9,0.01,1.0,0.4738371968269348
FaceFour,0.7,0.1,1.0,0.4638252258300781
Lightning2,0.7,0.01,0.7666666666666667,0.08498426526784897
Wafer,0.9,0.0,0.997,0.27282118797302246
MedicalImages,0.9,0.0,0.8608923884514436,1.0
OSULeaf,0.8,0.0,0.995,1.0
WordSynonyms,0.9,0.01,0.6629213483146067,1.0
CricketY,0.7,0.0,0.958974358974359,1.0
ChlorineConcentration,0.8,0.0,0.5610278372591007,1.297774269914953e-05
CricketX,0.6,0.0,0.9,0.4188491404056549
Wafer,0.7,0.0,0.903,8.609271753812209e-05
ItalyPowerDemand,0.7,0.0,0.7761194029850746,0.4192083477973938
GunPoint,0.9,0.01,1.0,0.5484563708305359
Symbols,0.8,0.0,0.96,0.6467506289482117
TwoPatterns,0.6,0.1,0.851,0.5134251713752747
SyntheticControl,0.8,0.0,0.9966666666666667,1.0
ECGFiveDays,0.9,0.0,1.0,1.0
Wafer,0.6,0.0,0.903,2.649006637511775e-05
SonyAIBORobotSurface1,0.6,0.1,0.9,0.1304347813129425
SonyAIBORobotSurface2,0.8,0.0,1.0,0.29050925374031067
InlineSkate,0.9,0.1,0.32,0.2824136018753052
CricketX,0.7,0.1,0.8974358974358975,0.5577480792999268
UWaveGestureLibraryZ,0.7,0.1,0.6830357142857143,0.5332866907119751
DiatomSizeReduction,0.8,0.1,0.9375,0.39098837971687317
Haptics,0.9,0.1,0.7419354838709677,0.5110552310943604
Beef,0.9,0.0,0.8666666666666667,1.0
TwoPatterns,0.9,0.0,0.983,1.0
OSULeaf,0.6,0.0,0.91,0.4153873324394226
Haptics,0.6,0.1,0.6516129032258065,0.3365482985973358
CricketZ,0.8,0.0,0.9564102564102565,1.0
Adiac,0.8,0.01,0.4461538461538462,0.4060952067375183
Fish,0.7,0.1,0.7714285714285715,0.5100432634353638
SwedishLeaf,0.8,0.0,0.898,1.0
CricketZ,0.9,0.01,0.9923076923076923,1.0
GunPoint,0.7,0.0,0.86,0.44577181339263916
Fish,0.6,0.01,0.7828571428571428,0.4131107032299042
NonInvasiveFatalECGThorax2,0.6,0.0,0.8116666666666666,0.1318439543247223
TwoLeadECG,0.6,0.1,1.0,0.29307571053504944
UWaveGestureLibraryY,0.6,0.01,0.6339285714285714,0.385211706161499
ECGFiveDays,0.6,0.0,0.7391304347826086,0.028019322082400322
ECGFiveDays,0.7,0.01,0.782608695652174,0.15458936989307404
ItalyPowerDemand,0.7,0.01,0.5970149253731343,0.15055158734321594
ECGFiveDays,0.7,0.0,0.782608695652174,0.11529792100191116
Adiac,0.6,0.0,0.023076923076923078,0.0
OliveOil,0.8,0.0,0.43333333333333335,0.0
ChlorineConcentration,0.7,0.1,0.5802997858672377,0.2957887053489685
UWaveGestureLibraryZ,0.7,0.0,0.7410714285714286,0.49728092551231384
FaceFour,0.7,0.0,1.0,1.0
FaceFour,0.6,0.01,1.0,0.24414996802806854
Yoga,0.6,0.01,0.7466666666666667,0.2082117646932602
MoteStrain,0.8,0.0,0.5,0.0
FaceFour,0.9,0.01,1.0,1.0
WordSynonyms,0.7,0.0,0.2247191011235955,0.0
ChlorineConcentration,0.6,0.0,0.5610278372591007,0.0
UWaveGestureLibraryY,0.8,0.0,0.7566964285714286,1.0
Yoga,0.8,0.01,0.78,0.3714509606361389
FaceAll,0.7,0.0,0.9607142857142857,0.3443681299686432
NonInvasiveFatalECGThorax1,0.7,0.01,0.8111111111111111,0.19707833230495453
SonyAIBORobotSurface2,0.7,0.01,1.0,0.23206017911434174
SyntheticControl,0.6,0.01,0.86,0.21757061779499054
Symbols,0.6,0.01,0.92,0.22952140867710114
MoteStrain,0.7,0.0,0.5,0.0
TwoPatterns,0.7,0.01,0.986,1.0
CricketY,0.9,0.0,0.9615384615384616,1.0
FiftyWords,0.6,0.1,0.11333333333333333,0.0
CricketY,0.8,0.0,0.9564102564102565,1.0
SyntheticControl,0.7,0.0,0.9666666666666667,0.2607344686985016
WordSynonyms,0.6,0.1,0.2247191011235955,0.0
FiftyWords,0.6,0.0,0.03111111111111111,0.0
Symbols,0.7,0.0,0.84,0.32937026023864746
NonInvasiveFatalECGThorax1,0.8,0.0,0.835,0.3304116725921631
Coffee,0.6,0.0,0.5,0.0
TwoLeadECG,0.7,0.0,0.8260869565217391,0.3333333134651184
SonyAIBORobotSurface1,0.7,0.0,0.95,0.14710143208503723
MoteStrain,0.6,0.01,0.5,0.0
FaceFour,0.9,0.0,1.0,1.0
CBF,0.8,0.01,1.0,1.0
ECG200,0.9,0.0,0.98,0.40336841344833374
CinCECGTorso,0.6,0.1,0.8,0.4564255177974701
SonyAIBORobotSurface2,0.8,0.01,0.9629629629629629,0.25752314925193787
NonInvasiveFatalECGThorax2,0.6,0.1,0.8066666666666666,0.3125508427619934
Coffee,0.9,0.1,0.5,0.0
Symbols,0.7,0.1,1.0,0.3984886407852173
NonInvasiveFatalECGThorax1,0.9,0.01,0.8294444444444444,0.422620564699173
ItalyPowerDemand,0.7,0.0,0.6567164179104478,0.13238157331943512
Haptics,0.6,0.0,0.2,5.913485438213684e-06
FacesUCR,0.7,0.01,0.97,0.34815382957458496
Coffee,0.9,0.0,0.5,0.0
ECG200,0.7,0.01,0.69,0.0
Adiac,0.9,0.01,0.4846153846153846,1.0
ItalyPowerDemand,0.9,0.1,0.8507462686567164,0.5892277359962463
InlineSkate,0.7,0.01,0.19,0.11484317481517792
Coffee,0.6,0.1,0.5,0.0
SonyAIBORobotSurface1,0.9,0.1,1.0,0.36159420013427734
Yoga,0.8,0.1,0.75,0.4350980520248413
ChlorineConcentration,0.9,0.0,0.5610278372591007,0.0
CinCECGTorso,0.7,0.0,0.95,0.542963981628418
UWaveGestureLibraryY,0.7,0.0,0.7142857142857143,0.49728092551231384
Mallat,0.9,0.1,0.9636363636363636,0.5439617037773132
WordSynonyms,0.8,0.1,0.2247191011235955,0.0
WordSynonyms,0.6,0.01,0.2247191011235955,0.0
DiatomSizeReduction,0.6,0.01,0.875,0.20548690855503082
CricketY,0.6,0.01,0.9205128205128205,0.44903525710105896
MoteStrain,0.8,0.1,1.0,0.9999998807907104
ItalyPowerDemand,0.9,0.0,0.9253731343283582,1.0
TwoLeadECG,0.6,0.0,0.6956521739130435,0.16908212006092072
SyntheticControl,0.8,0.1,0.9666666666666667,0.4974011182785034
Trace,0.6,0.0,0.71,0.05310218408703804
CricketY,0.8,0.01,0.9384615384615385,1.0
SonyAIBORobotSurface1,0.6,0.0,0.85,0.08405797183513641
ECGFiveDays,0.8,0.1,0.9130434782608695,0.43574872612953186
NonInvasiveFatalECGThorax2,0.9,0.01,0.8611111111111112,0.3888607323169708
UWaveGestureLibraryZ,0.6,0.0,0.6696428571428571,0.38053417205810547
ChlorineConcentration,0.8,0.1,0.5781584582441114,0.3562390208244324
FiftyWords,0.7,0.0,0.7066666666666667,1.0
OliveOil,0.6,0.0,0.4,0.0
ChlorineConcentration,0.7,0.0,0.5610278372591007,3.893322718795389e-05
ItalyPowerDemand,0.8,0.0,0.9552238805970149,1.0
UWaveGestureLibraryX,0.8,0.1,0.7890625,0.6406427621841431
Fish,0.9,0.0,0.8971428571428571,1.0
Beef,0.6,0.1,0.8666666666666667,1.0
Coffee,0.8,0.01,0.5357142857142857,0.0
OliveOil,0.7,0.1,0.43333333333333335,0.0
UWaveGestureLibraryX,0.8,0.01,0.8482142857142857,1.0
Beef,0.7,0.0,0.2,0.0
SyntheticControl,0.9,0.1,0.9833333333333333,0.558474600315094
SonyAIBORobotSurface2,0.9,0.0,1.0,0.32233795523643494
Fish,0.8,0.0,0.8914285714285715,1.0
Beef,0.9,0.1,0.9666666666666667,0.6039801836013794
FacesUCR,0.7,0.1,0.975,0.47888460755348206
FaceFour,0.8,0.01,1.0,1.0
Yoga,0.6,0.0,0.5433333333333333,0.00013333333481568843
Trace,0.8,0.01,0.78,0.22131386399269104
